ID,Title,Released,Class of Spike-Binding Protein,Ab/Nb,Chains (If Cocktail),Model Name,Resolution,Cocktail (2+ Different Ab/Nb/Sb),Domain Target on Spike,DOI
7DK6,"S-2H2-F2 structure, two RBDs are up and one RBD is down, each up RBD binds with a 2H2 Fab.",2020-12-02,Antibody,2H2,,7DK6_1;7DK6_2,4.3,No,RBD,10.1038/s41467-020-20465-w
7DK7,"S-2H2-F3b structure, three RBDs are up and each RBD binds with a 2H2 Fab.",2020-12-02,Antibody,2H2,,7DK7_1;7DK7_2;7DK7_3,9.7,No,RBD,10.1038/s41467-020-20465-w
7DPM,Crystal structure of SARS-CoV-2 Spike RBD in complex with MW06 Fab,2021-02-17,Antibody,MW06,,7DPM_1;7DPM_2;7DPM_3;7DPM_4,3.304,No,RBD,10.1080/19420862.2021.1953683
7DX4,The structure of FC08 Fab-hA.CE2-RBD complex,2021-04-21,Antibody,FC08,,7DX4_1,3.6,No,RBD,
7DZX,Spike protein from SARS-CoV2 with Fab fragment of enhancing antibody 8D2,2021-06-02,Antibody,8D2,,7DZX_1,3.53,No,,10.1016/j.cell.2021.05.032
7DZY,Spike protein from SARS-CoV2 with Fab fragment of enhancing antibody 2490,2021-06-02,Antibody,2490,,7DZY_1;7DZY_2;7DZY_3,3.6,No,,10.1016/j.cell.2021.05.032
7E23,SARS-CoV-2 spike in complex with the CA521 neutralizing antibody Fab (focused refinement on Fab-RBD),2021-05-05,Antibody,CA521,,,3.3,No,RBD,10.1038/s42003-021-02029-w
7E39,SARS-CoV-2 spike in complex with the Ab4 neutralizing antibody (State 3),2021-09-01,Antibody,Ab4,,,3.7,No,,10.1038/s41421-021-00292-z
7E3B,SARS-Cov-2 spike in complex with the Ab5 neutralizing antibody (focused refinement on Fab-RBD),2021-09-01,Antibody,Ab5,,7E3B_1,4.2,No,RBD,10.1038/s41421-021-00292-z
7E3C,SARS-CoV-2 spike in complex with the Ab1 neutralizing antibody (focused refinement on Fab-RBD),2021-09-01,Antibody,Ab1,,7E3C_1,4.2,No,RBD,10.1038/s41421-021-00292-z
7E3K,Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants,2021-09-15,Antibody,13G9,,7E3K_1;7E3K_2;7E3K_3,3.9,No,,
7E3L,Ultrapotent SARS-CoV-2 neutralizing antibodies with protective efficacy against newly emerged mutational variants,2021-09-15,Antibody,58G6,,7E3L_1;7E3L_2;7E3L_3,3.6,No,,
7E3O,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody nCoV617,2021-09-15,Antibody,nCoV617,,7E3O_1,2.51,No,RBD,
7E5O,Crystal structure of SARS-CoV-2 RBD in complex with antibody NT-193,2021-09-08,Antibody,NT-193,,7E5O_1,2.8,No,RBD,
7E5R,SARS-CoV-2 S trimer with three-antibody cocktail complex,2021-10-13,Antibody,H014,"D,E,H,L,N,O",7E5R_1;7E5R_5;7E5R_7,"3.6, 3.6",Yes,,10.1038/s41422-021-00497-7
7E5R,SARS-CoV-2 S trimer with three-antibody cocktail complex,2021-10-13,Antibody,P17,"I,K,M,T,U,V",7E5R_3;7E5R_6;7E5R_8,"3.6, 3.6",Yes,,10.1038/s41422-021-00497-7
7E5R,SARS-CoV-2 S trimer with three-antibody cocktail complex,2021-10-13,Antibody,FC05,"Q,P,R,S,W,X",7E5R_2;7E5R_4;7E5R_9,"3.6, 3.6",Yes,,10.1038/s41422-021-00497-7
7E5S,SARS-CoV-2 S trimer with four-antibody cocktail complex,2021-11-17,Antibody,H014,"D,E,H,L",7E5S_5;7E5S_7,"3.6, 3.6",Yes,,10.1038/s41422-021-00497-7
7E5S,SARS-CoV-2 S trimer with four-antibody cocktail complex,2021-11-17,Antibody,P17,"I,J,K,T",7E5S_4;7E5S_8,"3.6, 3.6",Yes,,10.1038/s41422-021-00497-7
7E5S,SARS-CoV-2 S trimer with four-antibody cocktail complex,2021-11-17,Antibody,FC05,"N,Q,P,S,U,V",7E5S_2;7E5S_3;7E5S_6,"3.6, 3.6",Yes,,10.1038/s41422-021-00497-7
7E5S,SARS-CoV-2 S trimer with four-antibody cocktail complex,2021-11-17,Antibody,HB27,"O,R",7E5S_1,"3.6, 3.6",Yes,,10.1038/s41422-021-00497-7
7E5Y,Molecular basis for neutralizing antibody 2B11 targeting SARS-CoV-2 RBD,2021-06-23,Antibody,2B11,,7E5Y_1;7E5Y_2,3.59,No,RBD,
7E7X,SARS-CoV-2 Spike Protein N terminal domain in Complex with N11 Fab,2021-06-09,Antibody,N11,,7E7X_1;7E7X_2,2.78,No,NTD,10.1038/s41422-021-00514-9
7E7Y,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-623 Fab,2021-06-09,Antibody,BD-623,,7E7Y_1;7E7Y_2,2.41,No,RBD,10.1038/s41422-021-00514-9
7E86,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-508 Fab,2021-06-09,Antibody,BD-508,,,2.9,No,RBD,10.1038/s41422-021-00514-9
7E88,Crystal structure of the SARS-CoV-2 S RBD in complex with BD-515 Fab,2021-06-09,Antibody,BD-515,,,3.14,No,RBD,10.1038/s41422-021-00514-9
7BEN,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253 and COVOX-75 Fabs,2021-03-03,Antibody,COVOX-253,COVOX-75,,,No,RBD,
7E8C,SARS-CoV-2 S-6P in complex with 9 Fabs,2021-06-09,Antibody,604,"D,E,N,O,P,Q",7E8C_3;7E8C_5;7E8C_7,3.16,Yes,,10.1038/s41422-021-00514-9
7ND9,EM structure of SARS-CoV-2 Spike glycoprotein (one RBD up) in complex with COVOX-253H55L Fab,2021-03-03,Antibody,COVOX-253H55L,,7ND9_1,,No,,
7NDA,EM structure of SARS-CoV-2 Spike glycoprotein (all RBD down) in complex with COVOX-253H55L Fab,2021-03-03,Antibody,COVOX-253H55L,,7NDA_1,,,,
7BEO,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in a ternary complex with COVOX-253H55L and COVOX-75 Fabs,2021-03-03,Antibody,COVOX-253H55L,COVOX-75,,,,RBD,
7E8C,SARS-CoV-2 S-6P in complex with 9 Fabs,2021-06-09,Antibody,N9,"H,L,S,T,U,V",7E8C_2;7E8C_6;7E8C_9,3.16,Yes,,10.1038/s41422-021-00514-9
7E8C,SARS-CoV-2 S-6P in complex with 9 Fabs,2021-06-09,Antibody,368-2,"a,I,J,K,M,Z",7E8C_1;7E8C_4;7E8C_8,3.16,Yes,,10.1038/s41422-021-00514-9
7E8F,SARS-CoV-2 NTD in complex with N9 Fab,2021-06-09,Antibody,N9,,7E8F_1;7E8F_2;7E8F_3,3.18,No,NTD,10.1038/s41422-021-00514-9
7E8M,Crystal structure of SARS-CoV-2 antibody P2C-1F11 with mutated RBD,2021-05-26,Antibody,P2C-1F11,,7E8M_1,2.09,No,RBD,
7EAM,immune complex of SARS-CoV-2 RBD and cross-neutralizing antibody 7D6,2021-03-17,Antibody,7D6,,7EAM_1;7EAM_2,1.4,No,RBD,
7EAN,immune complex of SARS-CoV-2 RBD and cross-neutralizing antibody 6D6,2021-03-31,Antibody,6D6,,7EAN_1,1.91,No,RBD,10.1038/s41467-021-25997-3
7EH5,"Cryo-EM structure of SARS-CoV-2 S-D614G variant in complex with neutralizing antibodies, RBD-chAb15 and RBD-chAb45",2021-09-01,Antibody,RBD-chAb15,"D,E,F,O,P,Q",7EH5_2;7EH5_3;7EH5_5,4,Yes,,10.1038/s41594-021-00652-z
7EH5,"Cryo-EM structure of SARS-CoV-2 S-D614G variant in complex with neutralizing antibodies, RBD-chAb15 and RBD-chAb45",2021-09-01,Antibody,RBD-chAb45,"H,I,J,L,M,N",7EH5_1;7EH5_4;7EH5_6,4,Yes,,10.1038/s41594-021-00652-z
7EJ4,Cryo-EM structure of SARS-CoV-2 spike in complex with a neutralizing antibody RBD-chAb-25,2021-06-23,Antibody,RBD-chAb-25,,7EJ4_1;7EJ4_2;7EJ4_3,3.6,No,,
7EJ5,Cryo-EM structure of SARS-CoV-2 spike in complex with a neutralizing antibody RBD-chAb-45,2021-06-23,Antibody,RBD-chAb-45,,7EJ5_1;7EJ5_2;7EJ5_3,3.5,No,,
7EY0,Local CryoEM structure of the SARS-CoV-2 S6PV2 in complex with BD-813 Fab and BD-744 Fab,2021-09-08,Antibody,BD-813,"H,L",,3.2,Yes,,10.1038/s41422-021-00555-0
7EY0,Local CryoEM structure of the SARS-CoV-2 S6PV2 in complex with BD-813 Fab and BD-744 Fab,2021-09-08,Antibody,BD-744,"A,B",,3.2,Yes,,10.1038/s41422-021-00555-0
7EY4,Local CryoEM of the SARS-CoV-2 S6PV2 in complex with BD-667,2021-09-08,Antibody,BD-667,,,"3.69, 3.69",No,,10.1038/s41422-021-00555-0
7EY5,Local CryoEM structure of the SARS-CoV-2 S6PV2 in complex with BD-771 Fab and BD-821 Fab,2021-09-08,Antibody,"BD-771
BD-821",,7EY5_1;7EY5_2,3.4,No,,10.1038/s41422-021-00555-0
7EYA,Local CryoEM structure of the SARS-CoV-2 S6PV2 in complex with BD-804 Fab,2021-09-08,Antibody,BD-804,,7EYA_1,3.77,No,,10.1038/s41422-021-00555-0
7EZV,local CryoEM structure of the SARS-CoV-2 S6PV2 in complex with BD-812 Fab and BD-836 Fab,2021-09-08,Antibody,BD-812,,7EZV_1;7EZV_2,3.3,No,,10.1038/s41422-021-00555-0
7F62,Cryo-EM structure of SARS-CoV-2 spike in complex with a neutralizing antibody chAb-25 (Focused refinement of S-RBD and chAb-25 region),2021-08-04,Antibody,chAb-25,,7F62_1,3.6,No,,
7F63,Cryo-EM structure of SARS-CoV-2 spike in complex with a neutralizing antibody chAb-45 (Focused refinement of S-RBD and chAb-45 region),2021-08-04,Antibody,chAb-45,,7F63_1,3.9,No,,
7FG2,"Minor cryo-EM structure of S protein trimer of SARS-CoV2 with K-874A VHH, composite map",2021-09-29,Nanobody/Sybody,K-874A VHH,,,4.4,No,,
7FG3,"Major cryo-EM structure of S protein trimer of SARS-CoV2 with K-874, composite map",2021-09-29,Nanobody/Sybody,K-874 VHH,,,3.9,No,,
7JMO,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody COVA2-04,2020-08-26,Antibody,COVA2-04,,7JMO_1,2.359,No,RBD,10.1101/2020.07.26.222232
7JMP,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody COVA2-39,2020-08-26,Antibody,COVA2-39,,7JMP_1,1.712,No,RBD,10.1101/2020.07.26.222232
7JMW,Crystal structure of SARS-CoV-2 spike protein receptor-binding domain in complex with cross-neutralizing antibody COVA1-16 Fab,2020-10-14,Antibody,COVA1-16,,7JMW_1,2.89,No,RBD,10.1101/2020.08.02.233536
7JV2,SARS-CoV-2 spike in complex with the S2H13 neutralizing antibody Fab fragment (local refinement of the receptor-binding motif and Fab variable domains),2020-10-14,Antibody,S2H13,,7JV2_1,3.5,No,,10.1016/j.cell.2020.09.037
7JV4,SARS-CoV-2 spike in complex with the S2H13 neutralizing antibody (one RBD open),2020-10-14,Antibody,S2H13,,7JV4_1;7JV4_2;7JV4_3,3.4,No,,10.1016/j.cell.2020.09.037
7JV6,SARS-CoV-2 spike in complex with the S2H13 neutralizing antibody (closed conformation),2020-10-14,Antibody,S2H13,,7JV6_1;7JV6_2;7JV6_3,3,No,,10.1016/j.cell.2020.09.037
7JVA,SARS-CoV-2 spike in complex with the S2A4 neutralizing antibody Fab fragment (local refinement of the receptor-binding domain and Fab variable domains),2020-10-14,Antibody,S2A4,,7JVA_1,3.6,No,,10.1016/j.cell.2020.09.037
7JVB,Crystal structure of the SARS-CoV-2 spike receptor-binding domain (RBD) with nanobody Nb20,2020-12-02,Nanobody/Sybody,Nb20,,,3.287,No,RBD,10.1126/science.abe4747
7JVC,SARS-CoV-2 spike in complex with the S2A4 neutralizing antibody Fab fragment,2020-10-14,Antibody,S2A4,,7JVC_1;7JVC_2;7JVC_3,3.3,No,,10.1016/j.cell.2020.09.037
7JW0,SARS-CoV-2 spike in complex with the S304 neutralizing antibody Fab fragment,2020-10-14,Antibody,S304,,7JW0_1;7JW0_2;7JW0_3,4.3,No,,10.1016/j.cell.2020.09.037
7JWB,SARS CoV2 Spike ectodomain with engineered trimerized VH binder,2020-10-07,Nanobody/Sybody,VH3 B01,,,"6, 3.2",No,,10.1038/s41589-020-00679-1
7JX3,Mapping neutralizing and immunodominant sites on the SARS-CoV-2 spike receptor-binding domain by structure-guided high-resolution serology,2020-10-14,Antibody,S309,"A,B",7JX3_2,2.65,Yes,,10.1016/j.cell.2020.09.037
7JX3,Mapping neutralizing and immunodominant sites on the SARS-CoV-2 spike receptor-binding domain by structure-guided high-resolution serology,2020-10-14,Antibody,S2H14,"C,D",7JX3_1,2.65,Yes,,10.1016/j.cell.2020.09.037
7JX3,Mapping neutralizing and immunodominant sites on the SARS-CoV-2 spike receptor-binding domain by structure-guided high-resolution serology,2020-10-14,Antibody,S304,"H,L",7JX3_3,2.65,Yes,,10.1016/j.cell.2020.09.037
7JZL,SARS-CoV-2 spike in complex with LCB1 (2RBDs open),2020-09-23,Other,LCB1,,,2.7,No,,10.1126/science.abd9909
7JZM,SARS-CoV-2 spike in complex with LCB3 (local refinement of the RBD and LCB3),2020-09-23,Other,LCB3,,,3.5,No,,10.1126/science.abd9909
7JZN,SARS-CoV-2 spike in complex with LCB3 (2RBDs open),2020-09-23,Other,LCB3,,,3.1,No,,10.1126/science.abd9909
7JZU,SARS-CoV-2 spike in complex with LCB1 (local refinement of the RBD and LCB1),2020-09-23,Other,LCB1,,,3.1,No,,10.1126/science.abd9909
7K43,SARS-CoV-2 spike in complex with the S2M11 neutralizing antibody Fab fragment,2020-10-07,Antibody,S2M11,,7K43_1;7K43_2;7K43_3,2.6,No,,10.1126/science.abe3354
7K45,SARS-CoV-2 spike in complex with the S2E12 neutralizing antibody Fab fragment (local refinement of the RBD and Fab variable domains),2020-10-07,Antibody,S2E12,,7K45_1,3.7,No,,10.1126/science.abe3354
7K4N,SARS-CoV-2 spike in complex with the S2E12 neutralizing antibody Fab fragment,2020-10-07,Antibody,S2E12,,7K4N_1;7K4N_2;7K4N_3,3.3,No,,10.1126/science.abe3354
7K8M,"Structure of the SARS-CoV-2 receptor binding domain in complex with the human neutralizing antibody Fab fragment, C102",2020-10-21,Antibody,C102,,7K8M_1,3.2,No,RBD,10.1038/s41586-020-2852-1
7K8S,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C002 (state 1)",2020-10-21,Antibody,C002,,7K8S_1;7K8S_2;7K8S_3,3.4,No,,10.1038/s41586-020-2852-1
7K8T,"Structure of the SARS-CoV-2 S 6P trimer in complex with the human neutralizing antibody Fab fragment, C002 (State 2)",2020-10-21,Antibody,C002,,7K8T_1;7K8T_2;7K8T_3,3.4,No,,10.1038/s41586-020-2852-1
7K8U,"Structure of the SARS-CoV-2 S 6P trimer in complex with the human neutralizing antibody Fab fragment, C104",2020-10-21,Antibody,C104,,7K8U_1,3.8,No,,10.1038/s41586-020-2852-1
7K8V,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C110",2020-10-21,Antibody,C110,,7K8V_1;7K8V_2,3.8,No,,10.1038/s41586-020-2852-1
7K8W,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C119",2020-10-21,Antibody,C119,,7K8W_1;7K8W_2,3.6,No,,10.1038/s41586-020-2852-1
7K8X,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C121 (State 1)",2020-10-21,Antibody,C121,,7K8X_1;7K8X_2,"3.9, 3.9",No,,10.1038/s41586-020-2852-1
7K8Y,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C121 (State 2)",2020-10-21,Antibody,C121,,7K8Y_1,"4.4, 4.4",No,,10.1038/s41586-020-2852-1
7K8Z,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, C135",2020-10-21,Antibody,C135,,7K8Z_1;7K8Z_2,3.5,No,,10.1038/s41586-020-2852-1
7K90,"Structure of the SARS-CoV-2 S 6P trimer in complex with the human neutralizing antibody Fab fragment, C144",2020-10-21,Antibody,C144,,7K90_1;7K90_2;7K90_3,3.24,No,,10.1038/s41586-020-2852-1
7K9H,"SARS-CoV-2 Spike in complex with neutralizing Fab 2B04 (one up, two down conformation)",2021-09-29,Antibody,2B04,,7K9H_1;7K9H_2,3.2,No,,10.1016/j.celrep.2021.109881
7K9I,SARS-CoV-2 Spike RBD in complex with neutralizing Fab 2B04 (local refinement),2021-09-29,Antibody,2B04,,7K9I_1,3.3,No,RBD,10.1016/j.celrep.2021.109881
7K9J,SARS-CoV-2 Spike in complex with neutralizing Fab 2H04 (three down conformation),2021-09-29,Antibody,2H04,,7K9J_1;7K9J_2;7K9J_3,3,No,,10.1016/j.celrep.2021.109881
7K9K,SARS-CoV-2 Spike RBD in complex with neutralizing Fab 2H04 (local refinement),2021-09-29,Antibody,2H04,,7K9K_1,3.14,No,,10.1016/j.celrep.2021.109881
7K9Z,Crystal structure of SARS-CoV-2 receptor binding domain in complex with the Fab fragments of neutralizing antibodies 298 and 52,2020-10-28,Antibody,298,"A,B",7K9Z_2,2.95,Yes,,10.1038/s41467-021-23825-2
7K9Z,Crystal structure of SARS-CoV-2 receptor binding domain in complex with the Fab fragments of neutralizing antibodies 298 and 52,2020-10-28,Antibody,52,"H,L",7K9Z_1,2.95,Yes,,10.1038/s41467-021-23825-2
7KFV,Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B12 Fab),2020-12-02,Antibody,C1A-B12,,7KFV_1;7KFV_2;7KFV_3,2.102,No,RBD,10.1101/2020.11.13.381533
7KFW,Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-B3 Fab),2020-12-02,Antibody,C1A-B3,,7KFW_1;7KFW_2;7KFW_3,2.792,No,RBD,10.1101/2020.11.13.381533
7KFX,Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-C2 Fab),2020-12-02,Antibody,C1A-C2,,7KFX_1,2.226,No,RBD,10.1101/2020.11.13.381533
7KFY,Structural basis for a germline-biased antibody response to SARS-CoV-2 (RBD:C1A-F10 Fab),2020-12-02,Antibody,C1A-F10,,7KFY_1,2.157,No,RBD,10.1101/2020.11.13.381533
7KGJ,Crystal structure of synthetic nanobody (Sb45) complexes with SARS-CoV-2 receptor binding domain,2021-02-03,Nanobody/Sybody,Sb45,,,2.3,No,RBD,10.1016/j.jbc.2021.101202
7KGK,Crystal structure of synthetic nanobody (Sb16) complexes with SARS-CoV-2 receptor binding domain,2021-02-03,Nanobody/Sybody,Sb16,,,2.6,No,,10.1016/j.jbc.2021.101202
7KKK,SARS-CoV-2 Spike in complex with neutralizing nanobody Nb6,2020-11-11,Antibody,Nb6,,,3.03,No,,10.1126/science.abe3255
7KKL,SARS-CoV-2 Spike in complex with neutralizing nanobody mNb6,2020-11-11,Antibody,mNb6,,,2.85,No,,10.1126/science.abe3255
7KL9,"Structure of the SARS-CoV-2 S 6P trimer in complex with the ACE2 protein decoy, CTC-445.2 (State 4)",2020-11-11,Other,CTC-445.2,,,4.1,No,,10.1126/science.abe0075
7KLG,SARS-CoV-2 RBD in complex with Fab 15033,2021-02-10,Antibody,15033,,7KLG_1;7KLG_2,3.2,No,RBD,10.1016/j.jmb.2021.167177
7KLH,SARS-CoV-2 RBD in complex with Fab 15033-7,2021-02-10,Antibody,15033-7,,7KLH_1;7KLH_2,3,No,RBD,10.1016/j.jmb.2021.167177
7KLW,Crystal structure of synthetic nanobody (Sb45+Sb68) complexes with SARS-CoV-2 receptor binding domain,2021-02-03,Nanobody/Sybody,Sb45,B,,2.6,Yes,RBD,10.1016/j.jbc.2021.101202
7KLW,Crystal structure of synthetic nanobody (Sb45+Sb68) complexes with SARS-CoV-2 receptor binding domain,2021-02-03,Nanobody/Sybody,Sb68,C,,2.6,Yes,RBD,10.1016/j.jbc.2021.101202
7KM5,Crystal structure of SARS-CoV-2 RBD complexed with Nanosota-1,2021-08-04,Nanobody/Sybody,Nanosota-1,,,3.19,No,RBD,
7KMG,LY-CoV555 neutralizing antibody against SARS-CoV-2,2021-01-27,Antibody,LY-CoV555,,7KMG_1;7KMG_2,2.16,No,,10.1126/scitranslmed.abf1906
7KMH,LY-CoV488 neutralizing antibody against SARS-CoV-2,2021-01-27,Antibody,LY-CoV488,,7KMH_1,1.72,No,,10.1126/scitranslmed.abf1906
7KMI,LY-CoV481 neutralizing antibody against SARS-CoV-2,2021-01-27,Antibody,LY-CoV481,,7KMI_1,1.73,No,,10.1126/scitranslmed.abf1906
7KMK,"cryo-EM structure of SARS-CoV-2 spike in complex with Fab 15033-7, two RBDs bound",2021-02-10,Antibody,15033-7,,7KMK_1;7KMK_2,4.2,No,RBD,10.1016/j.jmb.2021.167177
7KML,"cryo-EM structure of SARS-CoV-2 spike in complex with Fab 15033-7, three RBDs bound",2021-02-10,Antibody,15033-7,,7KML_1;7KML_2;7KML_3,3.8,No,RBD,10.1016/j.jmb.2021.167177
7KN3,Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-B8 Fab,2021-09-22,Antibody,S-B8,,7KN3_1;7KN3_2,2.251,No,RBD,10.1002/advs.202102181
7KN4,Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-E6 Fab,2021-09-22,Antibody,S-E6,,7KN4_1;7KN4_2,2.7,No,RBD,10.1002/advs.202102181
7KN5,Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobodies VHH E and U,2021-01-20,Nanobody/Sybody,VHH E,"C,D",,1.87,Yes,RBD,10.1126/science.abe6230
7KN5,Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobodies VHH E and U,2021-01-20,Nanobody/Sybody,VHH U,"E,F",,1.87,Yes,RBD,10.1126/science.abe6230
7KN6,Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH V and antibody Fab CC12.3,2021-01-20,"Antibody
Nanobody",CC12.3,"H,L",7KN6_1,2.55,Yes,RBD,10.1126/science.abe6230
7KN6,Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH V and antibody Fab CC12.3,2021-01-20,"Antibody
Nanobody",VHH V,C,7KN6_1,2.55,Yes,RBD,10.1126/science.abe6230
7KN7,Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH W and antibody Fab CC12.3,2021-01-20,"Antibody
Nanobody",CC12.3,"H,L",7KN7_1,2.73,Yes,RBD,10.1126/science.abe6230
7KN7,Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH W and antibody Fab CC12.3,2021-01-20,"Antibody
Nanobody",VHH W,B,7KN7_1,2.73,Yes,RBD,10.1126/science.abe6230
7KQE,SARS-CoV-2 spike glycoprotein:Fab 3D11 complex,2021-05-26,Antibody,3D11,,7KQE_1;7KQE_2;7KQE_3,2.88,No,,10.1016/j.cell.2021.04.033
7KS9,Cryo-EM structure of prefusion SARS-CoV-2 spike glycoprotein in complex with 910-30 Fab,2021-02-10,Antibody,910-30,,7KS9_1,4.75,No,,10.1101/2020.12.31.424987
7KSG,SARS-CoV-2 spike in complex with nanobodies E,2021-01-20,Nanobody/Sybody,VHH E,,,3.33,No,,10.1126/science.abe6230
7KXJ,"SARS-CoV-2 spike protein in complex with Fab 15033-7, 3-""up"", asymmetric",2021-02-03,Antibody,15033-7,,7KXJ_1;7KXJ_2;7KXJ_3,6.4,No,,10.1016/j.jmb.2021.167177
7KXK,"SARS-CoV-2 spike protein in complex with Fab 15033-7, 2-""up""-1-""down"" conformation",2021-02-03,Antibody,15033-7,,7KXK_1;7KXK_2;7KXK_3,5,No,,10.1016/j.jmb.2021.167177
7KZB,Potent SARS-CoV-2 binding and neutralization through maturation of iconic SARS-CoV-1antibodies,2021-02-03,Antibody,CR3014-C8,"H,L",7KZB_2,2.83,Yes,,10.1080/19420862.2021.1922134
7KZB,Potent SARS-CoV-2 binding and neutralization through maturation of iconic SARS-CoV-1antibodies,2021-02-03,Antibody,CR3022-B6,"A,B",7KZB_1,2.83,Yes,,10.1080/19420862.2021.1922134
7L02,Cryo-EM structure of SARS-CoV-2 2P S ectodomain bound to one copy of domain-swapped antibody 2G12,2020-12-30,Antibody,2G12,,7L02_1,3.2,No,,10.1016/j.cell.2021.04.042
7L06,Cryo-EM structure of SARS-CoV-2 2P S ectodomain bound to two copies of domain-swapped antibody 2G12,2020-12-30,Antibody,2G12,,7L06_1;7L06_2,3.3,No,,10.1016/j.cell.2021.04.042
7L09,Cryo-EM structure of SARS-CoV-2 2P S ectodomain bound domain-swapped antibody 2G12 from masked 3D refinement,2020-12-30,Antibody,2G12,,7L09_1,3.1,No,,10.1016/j.cell.2021.04.042
7L0N,Circulating SARS-CoV-2 spike N439K variants maintain fitness while evading antibody-mediated immunity,2021-02-17,Antibody,S309,"A,B,C,D",7L0N_1;7L0N_4,2.78,Yes,RBD,10.1016/j.cell.2021.01.037
7L0N,Circulating SARS-CoV-2 spike N439K variants maintain fitness while evading antibody-mediated immunity,2021-02-17,Antibody,S304,"H,L,M,N",7L0N_2;7L0N_3,2.78,Yes,RBD,10.1016/j.cell.2021.01.037
7L2C,Crystallographic structure of neutralizing antibody 2-51 in complex with SARS-CoV-2 spike N-terminal domain (NTD),2021-02-10,Antibody,2-51,,7L2C_1;7L2C_2,3.65,No,NTD,10.1016/j.chom.2021.03.005
7L2D,Cryo-EM structure of NTD-directed neutralizing antibody 1-87 in complex with prefusion SARS-CoV-2 spike glycoprotein,2021-03-24,Antibody,1-87,,7L2D_1,3.55,No,NTD,10.1016/j.chom.2021.03.005
7L2E,Cryo-EM structure of NTD-directed neutralizing antibody 4-18 in complex with prefusion SARS-CoV-2 spike glycoprotein,2021-03-24,Antibody,4-18,,7L2E_1;7L2E_2;7L2E_3,2.97,No,NTD,10.1016/j.chom.2021.03.005
7L2F,Cryo-EM structure of NTD-directed neutralizing antibody 5-24 in complex with prefusion SARS-CoV-2 spike glycoprotein,2021-03-24,Antibody,5-24,,7L2F_1;7L2F_2;7L2F_3,3.9,No,NTD,10.1016/j.chom.2021.03.005
7L3N,SARS-CoV 2 Spike Protein bound to LY-CoV555,2021-02-03,Antibody,LY-CoV555,,7L3N_1,3.27,No,RBD,10.1101/2020.09.30.318972
7L56,Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-43,2021-04-14,Antibody,2-43,,7L56_1;7L56_2;7L56_3,3.6,No,,10.1016/j.celrep.2021.108950
7L57,Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-15,2021-04-14,Antibody,2-15,,7L57_1,5.87,No,,10.1016/j.celrep.2021.108950
7L58,Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab H4,2021-04-14,Antibody,H4,,7L58_1,5.07,No,,10.1016/j.celrep.2021.108950
7L5B,Crystallographic structure of neutralizing antibody 2-15 in complex with SARS-CoV-2 spike receptor-binding Domain (RBD).,2021-02-10,Antibody,2-15,,7L5B_1,3.18,No,RBD,10.1016/j.celrep.2021.108950
7L7D,Crystal structure of SARS-CoV-2 spike RBD in complex with human monoclonal antibody AZD8895,2021-09-01,Antibody,AZD8895,,7L7D_1,2.5,No,RBD,
7L7E,Crystal structure of SARS-CoV-2 spike RBD in complex with human monoclonal antibodies AZD8895 and AZD1061,2021-09-01,Antibody,AZD8895,"A,B,H,I,J,L,T,U",7L7E_2;7L7E_3;7L7E_5;7L7E_7,3,Yes,RBD,
